시도,시군구코드,시군구명,위도,경도,축척,행정구역최소X좌표,행정구역최소Y좌표,행정구역최대X좌표,행정구역최대Y좌표,매핑코드,상태,자치구구분,지진해일발생분류,지진구역
47,230,영천시,36.0157365,128.94250712,100000,128.69524677,35.82988023,129.15156802,36.1854597,47230,Y,Y,,1
47,250,상주시,36.42951303,128.06688105,100000,127.79701512,36.23715098,128.33928145,36.65756206,47250,Y,Y,,1
47,280,문경시,36.69059557,128.14880314,100000,127.87695683,36.51348116,128.369719,36.87279681,47280,Y,Y,,1
47,290,경산시,35.83372484,128.80924323,100000,128.68127948,35.70020698,128.97090786,35.99378865,47290,Y,Y,,1
47,720,군위군,36.17021645,128.64850114,100000,128.41125204,36.00763544,128.90008254,36.32705457,47720,Y,Y,,1
47,730,의성군,36.36198116,128.61518523,200000,128.28404399,36.19341313,128.89658881,36.53165154,47730,Y,Y,,1
47,750,청송군,36.35721488,129.05737341,100000,128.84660308,36.16076088,129.25985176,36.59462868,47750,Y,Y,,1
47,760,영양군,36.69724091,129.14515514,100000,128.98355554,36.48637023,129.31348825,36.88143219,47760,Y,Y,,1
47,770,영덕군,36.48273065,129.31760292,100000,129.14791624,36.26665533,129.45329832,36.67372248,47770,Y,Y,Y,1
47,820,청도군,35.67258077,128.7856487,100000,128.52638679,35.56585613,129.04731696,35.84629384,47820,Y,Y,,1
47,830,고령군,35.7363119,128.30579939,100000,128.15773104,35.61055715,128.48104427,35.85152336,47830,Y,Y,,1
47,840,성주군,35.9070127,128.23420203,100000,128.04675651,35.77703516,128.40435168,36.05557843,47840,Y,Y,,1
47,850,칠곡군,36.01563387,128.46298582,100000,128.28479579,35.88304987,128.64061374,36.12564634,47850,Y,Y,,1
47,900,예천군,36.654224,128.42257799,100000,128.26025287,36.45536467,128.61051575,36.84891893,47900,Y,Y,,1
47,920,봉화군,36.9344856,128.91297485,100000,128.63730391,36.74571967,129.18541868,37.10047199,47920,Y,Y,,1
47,930,울진군,36.90412543,129.31276766,100000,129.0775711,36.64345901,129.47873125,37.14655839,47930,Y,Y,Y,1
47,940,울릉군,37.50188419,130.86427762,600000,130.79284883,37.23758508,131.87308281,37.54904718,47940,Y,Y,Y,1
48,110,창원시,35.2738,128.6577,50000,128.559112,35.148249,128.762186,35.394263,48110,N,N,,1
48,120,창원시,35.2018211,128.597069649383,50000,128.34762936,35.0516,128.84328936,35.39426394,48120,N,Y,,1
48,121,창원시의창구,35.30867008,128.64926182,50000,128.55912843,35.21461336,128.76219482,35.39426394,48121,Y,N,,1
48,123,창원시성산구,35.19539238,128.67164325,50000,128.58925424,35.14826977,128.7523629,35.24584093,48123,Y,N,,1
48,125,창원시마산합포구,35.1355122,128.48578223,50000,128.34762936,35.03999559,128.63998368,35.22255485,48125,Y,N,,1
48,127,창원시마산회원구,35.23248078,128.53664953,50000,128.473482,35.17706003,128.62566806,35.2773594,48127,Y,N,,1
48,129,창원시진해구,35.12947082,128.73691879,50000,128.6067647,35.05847225,128.84328936,35.1803535,48129,Y,N,,1
48,160,마산시,35.157,128.5039,100000,128.347619,35.05157,128.640208,35.277359,48160,N,N,,1
48,170,진주시,35.20513548,128.12981177,100000,127.88777604,35.05031188,128.36820319,35.35112095,48170,Y,Y,,1
48,190,진해시,35.1296,128.7359,100000,128.60653,35.059781,128.843271,35.180357,48190,N,N,,1
48,220,통영시,34.82572017,128.37409035,100000,128.12460074,34.49746433,128.59312942,34.97657976,48220,Y,Y,,1
48,240,사천시,35.04899904,128.03749848,100000,127.87944363,34.88601732,128.18457868,35.1588937,48240,Y,Y,,1
